"index","catid","catgroup","catname","catdesc"
"0","1","Sports","MLB","Major League Baseball"
"1","3","Sports","NFL","National Football League"
"2","6","Shows","Musicals","Musical theatre"
"3","8","Shows","Opera","All opera and light opera"
"4","11","Concerts","Classical","All symphony, concerto, and choir concerts"
"5","2","Sports","NHL","National Hockey League"
"6","4","Sports","NBA","National Basketball Association"
"7","5","Sports","MLS","Major League Soccer"
"8","7","Shows","Plays","All non-musical theatre"
"9","9","Concerts","Pop","All rock and pop music concerts"
"10","10","Concerts","Jazz","All jazz singers and bands"
