"index","eventid","venueid","catid","dateid","eventname","starttime"
"0","6649","6","9","1827","Hannah Montana","2008-01-01T19:30:00.000"
"1","1433","248","6","1827","Grease","2008-01-01T19:00:00.000"
"2","4135","16","9","1827","Nas","2008-01-01T14:30:00.000"
"3","5807","45","9","1827","Return To Forever","2008-01-01T15:00:00.000"
"4","1217","238","6","1827","Mamma Mia!","2008-01-01T20:00:00.000"
"5","2811","207","7","1827","Spring Awakening","2008-01-01T15:00:00.000"
"6","3915","51","9","1827","Return To Forever","2008-01-01T14:00:00.000"
"7","6711","72","9","1827","Smashing Pumpkins","2008-01-01T19:00:00.000"
"8","7747","6","9","1827","K.D. Lang","2008-01-01T15:00:00.000"
"9","1337","217","6","1828","Spamalot","2008-01-02T20:00:00.000"
"10","1738","260","6","1828","Beatles LOVE","2008-01-02T20:00:00.000"
"11","2131","212","7","1828","Macbeth","2008-01-02T15:00:00.000"
"12","2494","203","7","1828","The Caretaker","2008-01-02T19:00:00.000"
"13","2824","248","7","1828","Cirque du Soleil","2008-01-02T19:00:00.000"
"14","5475","98","9","1828","Demi Lovato","2008-01-02T19:30:00.000"
"15","5737","77","9","1828","David Sanborn","2008-01-02T19:00:00.000"
"16","521","248","6","1828","West Side Story","2008-01-02T15:00:00.000"
"17","2809","213","7","1828","The Cherry Orchard","2008-01-02T14:30:00.000"
"18","4853","39","9","1828","Rick Braun","2008-01-02T19:00:00.000"
"19","6262","2","9","1828","Gogol Bordello","2008-01-02T15:00:00.000"
"20","2920","209","7","1828","Macbeth","2008-01-02T19:30:00.000"
"21","2729","200","7","1829","Hedda Gabler","2008-01-03T14:00:00.000"
"22","3633","232","7","1829","The Country Girl","2008-01-03T19:30:00.000"
"23","4680","65","9","1829","The Roots","2008-01-03T14:00:00.000"
"24","5508","55","9","1829","Ryan Adams","2008-01-03T19:30:00.000"
"25","5546","40","9","1829","Third Day","2008-01-03T19:00:00.000"
"26","6274","96","9","1829","Beck","2008-01-03T15:00:00.000"
"27","6287","21","9","1829","Buckcherry","2008-01-03T19:00:00.000"
"28","394","300","8","1829","Adriana Lecouvreur","2008-01-03T15:00:00.000"
"29","2043","217","7","1829","The Bacchae","2008-01-03T19:00:00.000"
"30","2266","247","7","1829","Passing Strange","2008-01-03T20:00:00.000"
"31","3496","205","7","1829","August: Osage County","2008-01-03T19:00:00.000"
"32","6071","47","9","1829","3 Doors Down","2008-01-03T15:00:00.000"
"33","4671","24","9","1829","The Rowdy Frynds Tour","2008-01-03T19:00:00.000"
"34","4711","2","9","1829","Carrie Underwood","2008-01-03T19:00:00.000"
"35","6120","130","9","1829","Bob Dylan","2008-01-03T19:30:00.000"
"36","7468","37","9","1829","Commodores","2008-01-03T19:00:00.000"
"37","1981","219","7","1830","King Lear","2008-01-04T15:00:00.000"
"38","2274","222","7","1830","The Caretaker","2008-01-04T20:00:00.000"
"39","3263","215","7","1830","Rosencrantz and Guildenstern Are Dead","2008-01-04T20:00:00.000"
"40","3430","202","7","1830","Spring Awakening","2008-01-04T20:00:00.000"
"41","4563","89","9","1830","Killers","2008-01-04T20:00:00.000"
"42","4808","36","9","1830","Serj Tankian","2008-01-04T14:00:00.000"
"43","5540","31","9","1830","Styx","2008-01-04T15:00:00.000"
"44","8745","59","9","1830","Jonas Brothers","2008-01-04T14:00:00.000"
"45","1764","262","6","1830","Mamma Mia!","2008-01-04T20:00:00.000"
"46","3749","203","7","1830","Waiting for Godot","2008-01-04T19:30:00.000"
"47","7189","27","9","1830","Michael Buble","2008-01-04T14:00:00.000"
"48","7568","91","9","1830","Sound Tribe Sector 9","2008-01-04T19:00:00.000"
"49","8006","9","9","1830","Bette Midler","2008-01-04T19:30:00.000"
"50","982","244","6","1830","Gypsy","2008-01-04T15:00:00.000"
"51","1567","257","6","1830","Blue Man Group","2008-01-04T15:00:00.000"
"52","2606","241","7","1830","The Caretaker","2008-01-04T14:30:00.000"
"53","5515","11","9","1830","Foreigner","2008-01-04T14:00:00.000"
"54","6912","82","9","1830","Shakira","2008-01-04T14:00:00.000"
"55","7751","48","9","1830","Jesse McCartney","2008-01-04T19:30:00.000"
"56","7778","85","9","1830","Zucchero","2008-01-04T14:00:00.000"
"57","1193","229","6","1831","Fiddler on the Roof","2008-01-05T14:00:00.000"
"58","1428","207","6","1831","Jersey Boys","2008-01-05T14:00:00.000"
"59","3478","244","7","1831","The Caretaker","2008-01-05T19:00:00.000"
"60","6441","15","9","1831","Journey","2008-01-05T14:00:00.000"
"61","8111","54","9","1831","O.A.R.","2008-01-05T15:00:00.000"
"62","3140","239","7","1831","Romeo and Juliet","2008-01-05T15:00:00.000"
"63","3234","207","7","1831","The Caucasian Chalk Circle","2008-01-05T14:00:00.000"
"64","54","300","8","1831","La Cenerentola (Cinderella)","2008-01-05T15:00:00.000"
"65","3063","207","7","1831","Waiting for Godot","2008-01-05T20:00:00.000"
"66","3878","1","9","1831","Jim Brickman","2008-01-05T19:30:00.000"
"67","4731","91","9","1831","Flogging Molly","2008-01-05T14:00:00.000"
"68","6901","123","9","1831","Stone Temple Pilots","2008-01-05T14:00:00.000"
"69","8098","98","9","1832","The Swell Season","2008-01-06T19:30:00.000"
"70","4306","69","9","1832","Backstreet Boys","2008-01-06T20:00:00.000"
"71","7710","120","9","1832","Built To Spill","2008-01-06T19:30:00.000"
"72","1350","239","6","1832","Memphis - The Birth of Rock n Roll","2008-01-06T14:30:00.000"
"73","4488","15","9","1832","George Thorogood and the Destroyers","2008-01-06T20:00:00.000"
