"index","listid","sellerid","eventid","dateid","numtickets","priceperticket","totalprice","listtime"
"0","1315","37302","920","1827","9","126","1134","2008-01-01T04:05:41.000"
"1","724","35016","3468","1827","10","40","400","2008-01-01T03:32:37.000"
"2","1825","45077","3181","1827","16","118","1888","2008-01-01T01:16:37.000"
"3","7266","45195","7721","1827","2","91","182","2008-01-01T07:55:03.000"
"4","4118","40141","5624","1827","16","43","688","2008-01-01T03:10:06.000"
"5","8224","31449","313","1827","10","157","1570","2008-01-01T10:29:56.000"
"6","7613","5933","4515","1827","26","177","4602","2008-01-01T08:52:52.000"
"7","10212","34015","7319","1827","14","25","350","2008-01-01T01:03:11.000"
"8","8410","16243","6157","1827","18","201","3618","2008-01-01T08:14:04.000"
"9","10751","36710","8019","1827","26","99","2574","2008-01-01T03:59:41.000"
"10","9827","25897","2826","1827","20","185","3700","2008-01-01T05:44:30.000"
"11","11550","42626","770","1827","20","218","4360","2008-01-01T03:27:22.000"
"12","11895","38872","5696","1827","30","28","840","2008-01-01T09:00:15.000"
"13","11956","8649","1384","1827","1","248","248","2008-01-01T09:07:10.000"
"14","12708","24664","3234","1827","26","49","1274","2008-01-01T12:30:36.000"
"15","13987","47474","2563","1827","2","102","204","2008-01-01T03:49:51.000"
"16","13535","24639","5860","1827","16","157","2512","2008-01-01T03:31:54.000"
"17","14213","36551","4378","1827","28","105","2940","2008-01-01T05:28:16.000"
"18","14621","33136","7375","1827","30","198","5940","2008-01-01T12:16:27.000"
"19","15239","5977","3044","1827","16","121","1936","2008-01-01T07:52:07.000"
"20","15360","22940","7259","1827","1","63","63","2008-01-01T04:07:55.000"
"21","15831","31912","3617","1827","26","132","3432","2008-01-01T11:21:49.000"
"22","18443","4484","6482","1827","4","31","124","2008-01-01T04:17:57.000"
"23","17529","43577","2668","1827","30","241","7230","2008-01-01T10:15:44.000"
"24","24878","12199","4139","1827","3","165","495","2008-01-01T01:53:27.000"
"25","17583","313","985","1827","2","196","392","2008-01-01T01:10:07.000"
"26","24977","19588","3730","1827","10","124","1240","2008-01-01T12:19:11.000"
"27","17913","34453","4231","1827","28","25","700","2008-01-01T02:01:18.000"
"28","25561","31871","6653","1827","18","20","360","2008-01-01T02:41:09.000"
"29","19425","4497","7819","1827","2","29","58","2008-01-01T07:16:17.000"
