"index","salesid","listid","sellerid","buyerid","eventid","dateid","qtysold","pricepaid","commission","saletime"
"0","97197","110942","43282","515","7003","1827","2","708","106.2","2008-01-01T02:30:52.000"
"1","110328","126347","6955","394","6213","1827","1","347","52.05","2008-01-01T01:00:19.000"
"2","165890","222879","2186","664","6870","1827","2","4192","628.8","2008-01-01T12:59:34.000"
"3","65082","73790","20429","451","1150","1827","4","472","70.8","2008-01-01T06:06:57.000"
"4","7011","7613","5933","1503","4515","1828","1","177","26.55","2008-01-02T01:52:35.000"
"5","84644","96603","6051","1312","6641","1828","2","810","121.5","2008-01-02T09:31:15.000"
"6","97198","110942","43282","1532","7003","1828","1","354","53.1","2008-01-02T02:31:12.000"
"7","160330","212426","37430","447","6884","1828","4","8672","1300.8","2008-01-02T03:20:32.000"
"8","144048","166749","1303","617","7002","1828","1","196","29.4","2008-01-02T03:34:14.000"
"9","49137","55510","30285","91","674","1828","2","108","16.2","2008-01-02T05:13:52.000"
"10","98431","112471","33657","894","2618","1828","1","269","40.35","2008-01-02T04:04:32.000"
"11","7794","8410","16243","2378","6157","1829","3","603","90.45","2008-01-03T01:18:41.000"
"12","64256","72846","44087","508","4811","1829","2","92","13.8","2008-01-03T05:35:58.000"
"13","86280","98497","21024","1519","6062","1829","1","229","34.35","2008-01-03T06:13:21.000"
"14","69218","78722","9128","1256","942","1829","1","90","13.5","2008-01-03T08:41:19.000"
"15","129894","148955","9677","2009","4595","1829","1","278","41.7","2008-01-03T10:22:32.000"
"16","73843","84287","47181","456","3117","1829","1","244","36.6","2008-01-03T11:32:55.000"
"17","16536","17885","33096","1739","7443","1829","2","342","51.3","2008-01-03T06:36:27.000"
"18","94026","107391","27523","1236","5598","1829","1","68","10.2","2008-01-03T09:37:11.000"
"19","64837","73489","21131","2375","4488","1829","2","156","23.4","2008-01-03T05:58:02.000"
"20","108366","124037","19586","1726","801","1829","4","1616","242.4","2008-01-03T03:01:05.000"
"21","94780","108201","7118","112","5309","1829","2","750","112.5","2008-01-03T11:44:23.000"
"22","114262","130880","32868","2060","1470","1829","2","628","94.2","2008-01-03T05:45:11.000"
"23","102348","117095","47987","208","7424","1829","2","692","103.8","2008-01-03T12:10:58.000"
"24","118190","135369","12722","2051","89","1829","4","1052","157.8","2008-01-03T05:59:37.000"
"25","103324","118164","36611","2426","3494","1829","4","1640","246","2008-01-03T01:38:23.000"
"26","124458","142517","22834","2417","8737","1829","2","782","117.3","2008-01-03T10:18:08.000"
"27","108771","124525","28905","125","5056","1829","1","274","41.1","2008-01-03T04:31:06.000"
"28","124459","142517","22834","2300","8737","1829","1","391","58.65","2008-01-03T10:18:10.000"
"29","117158","134170","20087","355","8547","1829","1","362","54.3","2008-01-03T02:38:17.000"
"30","139703","161456","35284","578","1632","1829","4","896","134.4","2008-01-03T04:57:55.000"
"31","121898","139547","40902","173","6152","1829","3","1068","160.2","2008-01-03T04:40:40.000"
"32","144785","167610","45560","2475","3599","1829","1","32","4.8","2008-01-03T05:55:51.000"
"33","128124","146838","32495","1398","6657","1829","3","1278","191.7","2008-01-03T09:19:09.000"
"34","145442","168388","13149","628","6510","1829","4","1076","161.4","2008-01-03T05:28:53.000"
"35","128869","147726","39661","1553","1952","1829","2","874","131.1","2008-01-03T12:55:52.000"
"36","142206","164524","9141","1781","1850","1829","1","147","22.05","2008-01-03T04:57:11.000"
"37","3566","3847","8041","873","4903","1830","1","74","11.1","2008-01-04T09:52:20.000"
"38","2474","2651","12949","2043","2325","1830","1","246","36.9","2008-01-04T08:03:29.000"
"39","6808","7392","43525","2195","982","1830","1","196","29.4","2008-01-04T06:50:11.000"
"40","7783","8399","32829","2038","1429","1830","1","181","27.15","2008-01-04T12:57:37.000"
"41","10633","11550","42626","3018","770","1830","2","436","65.4","2008-01-04T04:50:52.000"
"42","17383","18852","11974","2263","8725","1830","4","788","118.2","2008-01-04T12:12:36.000"
"43","12753","13755","39502","2172","7819","1830","2","82","12.3","2008-01-04T08:26:19.000"
"44","44492","50031","40539","2176","4353","1830","1","107","16.05","2008-01-04T11:09:36.000"
"45","14813","16026","27294","1438","1538","1830","1","113","16.95","2008-01-04T05:55:51.000"
"46","69407","78965","23914","3216","6519","1830","1","335","50.25","2008-01-04T08:48:22.000"
"47","24237","26553","29708","380","4617","1830","2","112","16.8","2008-01-04T08:02:01.000"
"48","69886","79473","22762","2553","3698","1830","1","286","42.9","2008-01-04T09:06:31.000"
"49","25424","27845","2454","1622","6545","1830","3","699","104.85","2008-01-04T06:50:45.000"
"50","11871","12848","29840","696","8016","1830","2","40","6","2008-01-04T12:16:27.000"
"51","36292","40398","29457","404","2388","1830","2","218","32.7","2008-01-04T10:40:37.000"
"52","15605","16883","49049","1792","7271","1830","1","84","12.6","2008-01-04T10:59:59.000"
"53","38468","42871","28186","2223","7152","1830","2","390","58.5","2008-01-04T05:39:03.000"
"54","25781","28208","3839","2234","1808","1830","1","236","35.4","2008-01-04T02:19:54.000"
"55","54172","61119","12638","509","942","1830","3","981","147.15","2008-01-04T04:29:36.000"
"56","26964","29399","2350","1672","7981","1830","4","632","94.8","2008-01-04T01:33:01.000"
"57","54360","61307","46040","3272","4973","1830","1","218","32.7","2008-01-04T08:11:12.000"
"58","74862","85454","31051","83","4564","1830","1","277","41.55","2008-01-04T12:13:32.000"
"59","72186","82279","34162","2704","8582","1830","1","363","54.45","2008-01-04T10:31:47.000"
"60","85553","97664","36496","188","2933","1830","2","392","58.8","2008-01-04T03:13:45.000"
"61","80108","91471","14147","2925","2606","1830","2","84","12.6","2008-01-04T03:18:05.000"
"62","99609","113849","29495","414","6364","1830","2","992","148.8","2008-01-04T05:56:30.000"
"63","80824","92232","26646","2192","2274","1830","1","344","51.6","2008-01-04T05:33:40.000"
"64","104043","119009","43510","2377","3713","1830","1","375","56.25","2008-01-04T08:12:28.000"
"65","82928","94538","43756","355","202","1830","2","114","17.1","2008-01-04T10:51:05.000"
"66","108562","124273","11876","2625","4342","1830","4","908","136.2","2008-01-04T08:54:43.000"
"67","92718","105835","45721","3068","3094","1830","1","431","64.65","2008-01-04T08:08:16.000"
"68","113322","129829","3654","860","8188","1830","2","558","83.7","2008-01-04T05:36:13.000"
"69","98055","111985","9939","2803","2512","1830","2","562","84.3","2008-01-04T08:52:05.000"
"70","128276","147034","48254","1163","6901","1830","1","152","22.8","2008-01-04T12:28:15.000"
"71","112005","128291","3736","895","5379","1830","1","415","62.25","2008-01-04T07:34:33.000"
"72","148530","172052","24786","1351","3759","1830","2","514","77.1","2008-01-04T03:50:04.000"
"73","121732","139377","3928","1767","3978","1830","4","1720","258","2008-01-04T11:58:04.000"
"74","154181","178497","2947","1404","2577","1830","2","642","96.3","2008-01-04T06:19:59.000"
"75","140386","162328","7675","1649","4679","1830","2","300","45","2008-01-04T06:18:47.000"
"76","168403","227750","40680","2420","777","1830","1","644","96.6","2008-01-04T02:07:57.000"
"77","172139","234847","33805","197","3339","1830","1","1982","297.3","2008-01-04T02:15:07.000"
"78","21931","23828","7648","661","1670","1831","2","186","27.9","2008-01-05T01:47:42.000"
"79","9412","10212","34015","3632","7319","1831","3","75","11.25","2008-01-05T10:05:45.000"
"80","22481","24384","43659","2459","958","1831","2","380","57","2008-01-05T11:54:40.000"
"81","11306","12260","5055","1245","636","1831","1","238","35.7","2008-01-05T10:37:11.000"
"82","23410","25561","31871","3793","6653","1831","2","40","6","2008-01-05T04:59:21.000"
"83","13068","14086","5021","799","2781","1831","2","384","57.6","2008-01-05T03:43:37.000"
"84","26137","28544","21716","2422","8009","1831","1","129","19.35","2008-01-05T08:59:28.000"
"85","13186","14245","21956","2682","6302","1831","4","728","109.2","2008-01-05T06:00:05.000"
"86","70206","79817","4594","1325","7064","1831","3","732","109.8","2008-01-05T09:18:27.000"
"87","23580","25783","30329","1753","3587","1831","1","64","9.6","2008-01-05T08:02:09.000"
"88","71898","81927","19019","505","5876","1831","2","78","11.7","2008-01-05T10:20:49.000"
"89","23966","26224","7000","2885","6441","1831","2","444","66.6","2008-01-05T02:59:59.000"
"90","84388","96279","11691","2781","2157","1831","1","431","64.65","2008-01-05T04:31:37.000"
"91","38567","43002","13681","426","6716","1831","2","328","49.2","2008-01-05T07:28:39.000"
"92","99379","113619","47219","787","4679","1831","4","680","102","2008-01-05T12:46:08.000"
"93","63342","71770","7332","1777","1530","1831","4","1168","175.2","2008-01-05T05:01:52.000"
"94","140416","162354","49609","2116","4648","1831","1","178","26.7","2008-01-05T06:54:55.000"
"95","72185","82279","34162","3538","8582","1831","2","726","108.9","2008-01-05T10:31:47.000"
"96","141506","163669","42762","1940","6118","1831","1","95","14.25","2008-01-05T03:24:34.000"
"97","82322","93881","6896","1417","3293","1831","1","186","27.9","2008-01-05T11:23:21.000"
"98","145178","168070","47124","562","6515","1831","2","600","90","2008-01-05T01:01:40.000"
"99","82477","94092","13705","2357","2875","1831","1","279","41.85","2008-01-05T02:08:45.000"
"100","149558","173164","27952","724","7944","1831","1","477","71.55","2008-01-05T12:48:37.000"
"101","113045","129520","671","3240","5302","1831","2","982","147.3","2008-01-05T10:18:15.000"
"102","151063","174855","5775","2808","4105","1831","1","436","65.4","2008-01-05T06:08:06.000"
"103","122247","139966","11469","3775","5511","1831","4","1636","245.4","2008-01-05T01:23:29.000"
"104","151262","175104","23563","2232","2067","1831","1","311","46.65","2008-01-05T10:12:36.000"
"105","143994","166704","38923","2118","1326","1831","3","894","134.1","2008-01-05T02:45:26.000"
"106","156798","205094","13205","1147","7094","1831","2","2338","350.7","2008-01-05T07:20:07.000"
"107","167275","225612","22589","3530","1246","1831","2","3446","516.9","2008-01-05T03:30:53.000"
"108","163091","217691","816","1093","6032","1831","4","8904","1335.6","2008-01-05T08:34:01.000"
"109","167589","226219","49556","2950","6320","1831","1","2408","361.2","2008-01-05T09:19:48.000"
"110","485","483","11556","3421","5156","1831","4","188","28.2","2008-01-05T05:17:38.000"
"111","7197","7809","11642","2584","826","1831","1","111","16.65","2008-01-05T07:28:38.000"
"112","10757","11683","48955","3419","6302","1831","2","156","23.4","2008-01-05T08:09:17.000"
"113","37508","41786","23985","1750","6320","1831","4","1096","164.4","2008-01-05T10:29:07.000"
"114","38730","43177","44351","1641","1863","1831","2","156","23.4","2008-01-05T10:44:27.000"
"115","77496","88484","24208","2709","2000","1831","1","445","66.75","2008-01-05T02:09:34.000"
"116","82791","94380","31029","817","1812","1831","4","508","76.2","2008-01-05T08:22:29.000"
"117","98513","112551","25816","1841","395","1831","3","1206","180.9","2008-01-05T05:43:45.000"
"118","116582","133501","30537","1999","6721","1831","1","36","5.4","2008-01-05T03:52:23.000"
"119","152389","176335","35387","2564","7779","1831","2","150","22.5","2008-01-05T08:49:29.000"
"120","163567","218529","30614","3895","3828","1831","1","2297","344.55","2008-01-05T05:12:16.000"
"121","5511","5960","8462","1776","2834","1832","1","67","10.05","2008-01-06T10:23:26.000"
"122","15036","16294","17745","1919","6632","1832","2","88","13.2","2008-01-06T10:58:27.000"
"123","11031","11956","8649","4409","1384","1832","1","248","37.2","2008-01-06T03:55:25.000"
"124","16097","17398","24043","386","6869","1832","1","142","21.3","2008-01-06T09:30:43.000"
"125","45509","51210","41218","4817","3061","1832","2","322","48.3","2008-01-06T06:45:22.000"
"126","39397","43965","5833","1508","1413","1832","4","192","28.8","2008-01-06T12:22:47.000"
"127","45947","51721","6505","680","302","1832","2","594","89.1","2008-01-06T03:00:57.000"
"128","54698","61634","18798","1961","581","1832","2","134","20.1","2008-01-06T03:21:40.000"
"129","55246","62317","18940","3479","4716","1832","2","980","147","2008-01-06T02:22:43.000"
"130","88782","101415","41872","92","5365","1832","4","1324","198.6","2008-01-06T04:51:02.000"
"131","55314","62410","10874","2142","81","1832","1","419","62.85","2008-01-06T03:57:42.000"
"132","141921","164149","18774","4607","2046","1832","4","1324","198.6","2008-01-06T11:28:46.000"
"133","69576","79147","3132","3216","2564","1832","1","333","49.95","2008-01-06T08:54:58.000"
"134","153413","177580","19362","2165","4887","1832","4","1572","235.8","2008-01-06T04:27:25.000"
"135","71454","81336","42108","484","7098","1832","2","712","106.8","2008-01-06T10:03:54.000"
"136","164372","219995","14420","1968","6588","1832","1","2344","351.6","2008-01-06T08:27:29.000"
"137","74621","85164","36451","4325","7735","1832","1","378","56.7","2008-01-06T12:04:09.000"
"138","170839","232422","17592","78","4803","1832","1","1889","283.35","2008-01-06T01:27:14.000"
"139","83171","94792","19126","4821","2596","1832","1","466","69.9","2008-01-06T03:22:30.000"
"140","3228","3470","3558","1077","7039","1832","3","366","54.9","2008-01-06T07:51:41.000"
"141","88605","101234","3866","3040","1221","1832","3","708","106.2","2008-01-06T01:34:19.000"
"142","9095","9827","25897","4583","2826","1832","2","370","55.5","2008-01-06T01:55:55.000"
"143","112770","129204","15507","2907","1348","1832","1","418","62.7","2008-01-06T01:43:25.000"
